system:index,cell_id,lat,lon,mean_ntl,month,sum_ntl,.geo
+2167+412,934976,18.527752414653648,97.35491891645107,0.582385974814599,2022-03,58.23631361489201,"{""type"":""Point"",""coordinates"":[97.35491891645107,18.527752414653648]}"
+2167+413,233842,18.572668177677276,97.35491891645181,0.44476410831192936,2022-03,44.474666658219164,"{""type"":""Point"",""coordinates"":[97.35491891645181,18.572668177677276]}"
+2167+414,198436,18.617583940691556,97.35491891645215,0.32498451141246293,2022-03,32.49717669218194,"{""type"":""Point"",""coordinates"":[97.35491891645216,18.617583940691556]}"
+2168+410,984783,18.43792088860353,97.39983468066472,0.6532522821990668,2022-03,65.32266644625102,"{""type"":""Point"",""coordinates"":[97.39983468066472,18.43792088860353]}"
+2168+411,296924,18.482836651630326,97.39983468066492,1.644539389754188,2022-03,164.4474898013414,"{""type"":""Point"",""coordinates"":[97.39983468066492,18.482836651630322]}"
+2168+412,842238,18.527752414653346,97.39983468066696,0.7729958020379445,2022-03,77.29654884770805,"{""type"":""Point"",""coordinates"":[97.39983468066696,18.527752414653346]}"
+2168+413,669686,18.572668177678434,97.3998346806662,1.3319659571053166,2022-03,133.19137231462145,"{""type"":""Point"",""coordinates"":[97.39983468066622,18.572668177678434]}"
+2169+407,427132,18.303173599499107,97.4447504448589,0.2600211778346583,2022-03,26.001098092572366,"{""type"":""Point"",""coordinates"":[97.4447504448589,18.30317359949911]}"
+2169+408,575000,18.34808936252462,97.44475044485564,0.430460015902136,2022-03,43.04431351171988,"{""type"":""Point"",""coordinates"":[97.44475044485564,18.348089362524625]}"
+2169+409,931734,18.393005125573854,97.44475044485765,0.49664614361437387,2022-03,49.66266672950166,"{""type"":""Point"",""coordinates"":[97.44475044485765,18.393005125573854]}"
+2169+410,869999,18.43792088860294,97.44475044486144,0.5386952414306323,2022-03,53.86741161270469,"{""type"":""Point"",""coordinates"":[97.44475044486144,18.437920888602935]}"
+2169+411,356469,18.48283665163156,97.4447504448608,0.8314027951015593,2022-03,83.13701910703791,"{""type"":""Point"",""coordinates"":[97.44475044486082,18.48283665163156]}"
+2169+412,200882,18.527752414655957,97.44475044485931,0.608335618726356,2022-03,60.83117624275826,"{""type"":""Point"",""coordinates"":[97.44475044485931,18.52775241465596]}"
+2170+406,584497,18.25825783645724,97.48966620907758,0.4025769659233182,2022-03,40.25611785913213,"{""type"":""Point"",""coordinates"":[97.48966620907758,18.25825783645724]}"
+2170+407,474619,18.303173599500727,97.4896662090771,0.28495980321582587,2022-03,28.49486283215822,"{""type"":""Point"",""coordinates"":[97.4896662090771,18.303173599500727]}"
+2170+408,847772,18.348089362519787,97.48966620907999,0.30193537210589727,2022-03,30.192353150306968,"{""type"":""Point"",""coordinates"":[97.48966620907999,18.348089362519787]}"
+2170+409,602611,18.39300512557857,97.48966620907858,0.530507471499347,2022-03,53.04866672847785,"{""type"":""Point"",""coordinates"":[97.48966620907858,18.393005125578565]}"
+2170+410,543251,18.43792088860201,97.48966620907503,0.37718891115944836,2022-03,37.717411943744224,"{""type"":""Point"",""coordinates"":[97.48966620907504,18.43792088860201]}"
+2170+411,75692,18.482836651630016,97.48966620907291,0.8055966918707087,2022-03,80.55650998435767,"{""type"":""Point"",""coordinates"":[97.48966620907291,18.482836651630016]}"
+2170+412,882507,18.527752414654746,97.48966620907314,0.5637381848851727,2022-03,56.37160775053735,"{""type"":""Point"",""coordinates"":[97.48966620907314,18.527752414654742]}"
+2171+406,538969,18.25825783645945,97.53458197327807,0.29235303382896155,2022-03,29.23415690041056,"{""type"":""Point"",""coordinates"":[97.53458197327807,18.258257836459446]}"
+2171+407,388988,18.303173599500568,97.5345819732771,0.27372602860122713,2022-03,27.371529424716442,"{""type"":""Point"",""coordinates"":[97.5345819732771,18.303173599500568]}"
+2171+408,758576,18.34808936252165,97.53458197327413,0.3085097468113439,2022-03,30.84976483899004,"{""type"":""Point"",""coordinates"":[97.53458197327413,18.34808936252165]}"
+2171+409,910737,18.393005125575097,97.5345819732757,0.3253064853091338,2022-03,32.529372819206294,"{""type"":""Point"",""coordinates"":[97.5345819732757,18.393005125575097]}"
+2171+410,905298,18.43792088860192,97.53458197327691,0.4353241309008741,2022-03,43.530705936632906,"{""type"":""Point"",""coordinates"":[97.53458197327691,18.43792088860192]}"
+2171+411,482811,18.482836651630365,97.53458197327848,0.8635938694299053,2022-03,86.35600030036535,"{""type"":""Point"",""coordinates"":[97.53458197327848,18.48283665163036]}"
+2171+412,831034,18.527752414655623,97.53458197327838,0.48505627255312767,2022-03,48.50372507385179,"{""type"":""Point"",""coordinates"":[97.53458197327838,18.527752414655623]}"
+2172+408,684731,18.348089362524654,97.57949773747725,0.5404490386177695,2022-03,54.04278445378239,"{""type"":""Point"",""coordinates"":[97.57949773747725,18.348089362524657]}"
+2172+409,873318,18.393005125576057,97.57949773747691,0.36369465682393326,2022-03,36.368039428837164,"{""type"":""Point"",""coordinates"":[97.57949773747691,18.393005125576057]}"
+2172+410,402779,18.437920888603564,97.57949773747505,0.43329424737757277,2022-03,43.32772554463032,"{""type"":""Point"",""coordinates"":[97.57949773747505,18.43792088860356]}"
