system:index,cell_id,lat,lon,mean_ntl,month,sum_ntl,.geo
+2167+412,934976,18.527752414653648,97.35491891645107,1.7559590514507786,2024-03,175.58901903115066,"{""type"":""Point"",""coordinates"":[97.35491891645107,18.527752414653648]}"
+2167+413,233842,18.572668177677276,97.35491891645181,3.0927843990183437,2024-03,309.2663113355637,"{""type"":""Point"",""coordinates"":[97.35491891645181,18.572668177677276]}"
+2167+414,198436,18.617583940691556,97.35491891645215,1.3766155497663797,2024-03,137.656156484286,"{""type"":""Point"",""coordinates"":[97.35491891645216,18.617583940691556]}"
+2168+410,984783,18.43792088860353,97.39983468066472,1.0388776043465688,2024-03,103.88368640483596,"{""type"":""Point"",""coordinates"":[97.39983468066472,18.43792088860353]}"
+2168+411,296924,18.482836651630326,97.39983468066492,1.8721730190296482,2024-03,187.2099600479883,"{""type"":""Point"",""coordinates"":[97.39983468066492,18.482836651630322]}"
+2168+412,842238,18.527752414653346,97.39983468066696,4.494142529609049,2024-03,449.3966288725536,"{""type"":""Point"",""coordinates"":[97.39983468066696,18.527752414653346]}"
+2168+413,669686,18.572668177678434,97.3998346806662,1.7880148089707162,2024-03,178.79446907429136,"{""type"":""Point"",""coordinates"":[97.39983468066622,18.572668177678434]}"
+2169+407,427132,18.303173599499107,97.4447504448589,0.3148194060925805,2024-03,31.480706023351818,"{""type"":""Point"",""coordinates"":[97.4447504448589,18.30317359949911]}"
+2169+408,575000,18.34808936252462,97.44475044485564,0.3380442390148907,2024-03,33.80309823780667,"{""type"":""Point"",""coordinates"":[97.44475044485564,18.348089362524625]}"
+2169+409,931734,18.393005125573854,97.44475044485765,0.3669590966544376,2024-03,36.694470610162774,"{""type"":""Point"",""coordinates"":[97.44475044485765,18.393005125573854]}"
+2169+410,869999,18.43792088860294,97.44475044486144,0.43569630073904475,2024-03,43.56792146096041,"{""type"":""Point"",""coordinates"":[97.44475044486144,18.437920888602935]}"
+2169+411,356469,18.48283665163156,97.4447504448608,0.9019141896207488,2024-03,90.18788204368424,"{""type"":""Point"",""coordinates"":[97.44475044486082,18.48283665163156]}"
+2169+412,200882,18.527752414655957,97.44475044485931,3.9527530388213292,2024-03,395.25980288982396,"{""type"":""Point"",""coordinates"":[97.44475044485931,18.52775241465596]}"
+2170+406,584497,18.25825783645724,97.48966620907758,0.3266006521586973,2024-03,32.65878442899853,"{""type"":""Point"",""coordinates"":[97.48966620907758,18.25825783645724]}"
+2170+407,474619,18.303173599500727,97.4896662090771,0.3274838230833968,2024-03,32.74709805805309,"{""type"":""Point"",""coordinates"":[97.4896662090771,18.303173599500727]}"
+2170+408,847772,18.348089362519787,97.48966620907999,0.3160037669655275,2024-03,31.599137466094074,"{""type"":""Point"",""coordinates"":[97.48966620907999,18.348089362519787]}"
+2170+409,602611,18.39300512557857,97.48966620907858,0.34779795423828536,2024-03,34.778431510282516,"{""type"":""Point"",""coordinates"":[97.48966620907858,18.393005125578565]}"
+2170+410,543251,18.43792088860201,97.48966620907503,0.3515643765329918,2024-03,35.15505896946965,"{""type"":""Point"",""coordinates"":[97.48966620907504,18.43792088860201]}"
+2170+411,75692,18.482836651630016,97.48966620907291,0.43588140685888654,2024-03,43.58643134703824,"{""type"":""Point"",""coordinates"":[97.48966620907291,18.482836651630016]}"
